Contig_name	Status	BiAllelic_SNP	TriAllelic_SNP	QuadriAllelic_SNP	nN	nS	fixN	fixS	polymN0.0	polymS0.0	polymN0.2	polymS0.2	MK_nN	MK_nS	GCalfreq<=0.125	GCalfreq<=0.25	GCalfreq<=0.375	GCalfreq<=0.5	GCalfreq<=0.625	GCalfreq<=0.75	GCalfreq<=0.875	GCalfreq<=1	Pearl_millet_nb_sequence	Pearl_millet_nb_complete_site	Pearl_millet_GC3	Pearl_millet_piN	Pearl_millet_piS	Pearl_millet_Fit	Pearl_millet_WeirCockerham84_Fit	H(Sa-21-28423-02)	H(Sa-21-28423-03)	H(Sa-21-28425-02)	H(Sa-21-30147-01)	H(Sa-21-30147-02)	H(Sa-21-30147-03)	H(Sa-21-30147-04)	H(Sa-21-30218-01)	H(Sa-21-30218-02)	H(Sa-21-30218-03)	H(Sa-21-30507-01)	H(Sa-21-30507-02)	H(Sa-21-30515-01)	H(Sa-21-30515-02)	H(Sa-21-30529-02)	H(Sa-21-30529-03)	H(Sa-21-82410-01)	H(Sa-21-82410-02)	H(Sa-21-82410-03)	H(Sa-21-82410-04)	H(Sa-24-60424-01)	H(Sa-24-60424-03)	H(Sa-6-3189-01)	H(Sa-6-3189-02)	H(Sa-6-3189-03)	H(Sa-6-3189-04)	H(Sa-6-3385-01)	H(Sa-6-4253-01)	H(Sa-6-4253-02)	H(Sa-6-51263-02)	H(Sa-8-11559-01)	H(Sa-8-11559-03)	H(Sa-8-12129-01)	H(Sa-8-12129-02)	H(Sa-8-12129-03)	H(Sa-8-12129-04)	H(Sa-8-7085-01)	H(Sa-8-7085-02)	H(Sa-8-7085-03)	H(Sa-8-7085-04)	H(Sa-8-7085-05)	H(Sa-8-7085-06)	H(So-10-20006-01)	H(So-10-20006-02)	H(So-10-20006-03)	H(So-10-20110-02)	H(So-10-20110-03)	H(So-10-20117-01)	H(So-10-20117-03)	H(So-10-20279-01)	H(So-10-20279-02)	H(So-10-20279-03)	H(So-10-20302-01)	H(So-10-20302-02)	H(So-10-20302-03)	H(So-10-20327-01)	H(So-10-20327-02)	H(So-10-20327-03)	H(So-10-20333-01)	H(So-10-20333-02)	H(So-10-20333-03)	H(So-10-20333-04)	H(So-10-20333-05)	H(So-10-20347-01)	H(So-10-20347-02)	H(So-10-20347-03)	H(So-10-20363-01)	H(So-10-20363-02)	H(So-10-20363-03)	H(So-10-56965-01)	H(So-10-56965-02)	H(So-10-56965-03)	H(So-21-1061629-01)	H(So-21-1061629-02)	H(So-21-1061629-03)	H(So-21-28371-01)	H(So-21-28371-02)	H(So-21-28371-03)	H(So-21-28371-04)	H(So-21-28423-01)	H(So-21-28423-02)	H(So-21-28423-03)	H(So-21-28425-01)	H(So-21-28425-02)	H(So-21-28425-03)	H(So-21-28449-01)	H(So-21-28449-02)	H(So-21-28449-04)	H(So-21-29822-01)	H(So-21-29822-02)	H(So-21-30218-01)	H(So-21-30218-02)	H(So-21-30218-03)	H(So-21-30507-01)	H(So-21-30507-02)	H(So-21-30522-01)	H(So-21-30522-02)	H(So-21-30522-03)	H(So-21-30529-01)	H(So-21-30529-02)	H(So-21-30529-03)	H(So-6-3189-01)	H(So-6-3189-02)	H(So-6-3189-03)	H(So-6-3385-02)	H(So-6-4253-01)	H(So-6-4253-02)	H(So-6-4452-01)	H(So-6-51263-01)	H(So-6-51263-02)	H(So-8-11559-01)	H(So-8-11559-02)	H(So-8-11559-03)	H(So-8-6685-01)	H(So-8-6685-02)	H(So-8-6685-03)	H(So-8-6858-02)	H(So-8-6858-03)	H(So-8-7024-01)	H(So-8-7024-02)	H(So-8-7024-03)	H(So-8-7291-01)	H(So-8-7539-01)	H(So-8-7539-02)	H(So-8-7539-03)	H(So-8-7539-04)	
CDS_2488_chr6_91176_91252	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	252	25	0.52	0.00545051	0	0.0904302	0.0943803	0	0.0133333	0	0	0	0	0	0	0	0	0	0.0133333	0	0	0	0.0133333	0	0.0133333	0	0	0.0133333	0	0	0	0	0	0	0	0.0133333	0	0	0	0	0.0133333	0	0	0	0.0133333	0.0133333	0	0	0.0133333	0	0	0	0.0133333	0	0	0	0	0	0	0	0	0	0	0	0	0.0133333	0	0.0133333	0	0.0133333	0.0133333	0	0	0	0.0133333	0.0133333	0	0	0	0.0133333	0	0.0133333	0	0	0.0133333	0	0.0133333	0	0.0133333	0.0133333	0	0.0133333	0	0	0.0133333	0	0.0133333	0	0	0.0133333	0.0133333	0	0	0	0	0.0133333	0	0	0	0	0	0.0133333	0	0	0	0.0133333	0	0	0	0.0133333	0.0133333	0	0	0	0	0.0133333	0.0133333	0	0	0	0.0133333	0	0.0133333	
CDS_2489_chr6_99012_99155	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	168	48	0.395833	0.00449604	0	0.442826	0.447627	0	0.00694444	-999	-999	0	0	-999	0	-999	-999	0	-999	-999	-999	0	0.00694444	0	0.00694444	0	0	0.00694444	-999	0	0	-999	-999	-999	0	0.00694444	0	0.00694444	0.00694444	-999	0	0	-999	-999	0	-999	-999	0	0	0	0.00694444	0	-999	0	-999	0	-999	0.00694444	0	-999	0	-999	-999	0.00694444	0	0	0	0	0	0	0.00694444	0	0	0	0	0	0.00694444	0	0	-999	0.00694444	0	0	0	0	-999	0.00694444	0.00694444	0.00694444	-999	-999	-999	-999	-999	-999	0	0	0.00694444	-999	0	0.00694444	0	-999	-999	0	0	0	0.00694444	0	0	0.00694444	-999	0	-999	0	0	0	-999	0	0	0.00694444	0	0	-999	0	0.00694444	-999	-999	0	-999	0	0.00694444	-999	
CDS_2490_chr6_186644_186697	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	252	18	0.444444	0	0.0197887	0.0258234	0.0298044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185185	0	0	0.0185185	0.0185185	0	0	0	0	0.0185185	0.0185185	0	0	0	0	0	0.0185185	0	0	0	0	0.0185185	0	0.0185185	0	0.0185185	0	0	0	0	0.0185185	0	0.0185185	0	0	0.0185185	0	0	0.0185185	0.0185185	0.0185185	0.0185185	0	0	0	0.0185185	0.0185185	0.0185185	0	0	0.0185185	0.0185185	0	0	0	0	0	0	0.0185185	0	0	0	0	0	0.0185185	0	0	0.0185185	
CDS_2491_chr6_204147_204260	OK	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1	0	0	1	0	250	37	0.540541	0	0.0305301	-0.609687	-0.607158	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0	0.00900901	0.018018	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.00900901	0.00900901	0.018018	0.018018	-999	0.018018	0.00900901	0	0.00900901	0.018018	0.018018	0.018018	0	0.018018	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.00900901	0.018018	0.00900901	0.00900901	0.00900901	0.018018	0.00900901	0.00900901	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.018018	0.00900901	0.018018	0.00900901	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.00900901	0	0.00900901	0.00900901	0.018018	0.00900901	0.00900901	0.018018	0.018018	0.00900901	0.018018	0.018018	0.00900901	0.00900901	0.00900901	0.00900901	0.00900901	0.018018	0.018018	0.00900901	0.00900901	0.018018	0.00900901	0.018018	0.018018	
CDS_2492_chr6_339473_339619	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	240	49	0.428571	0.00172481	0	0.207094	0.211096	0.00680272	0	0	0	0	0	0	0	0	0.00680272	0	0	-999	0	0	0	0	0	0	-999	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	0.00680272	0	0.00680272	0	0	0	0	-999	0	0	0.00680272	0	0	0	0.00680272	0	0	0	0	0	0	0	0	0	0	0	0.00680272	0	0	0	0	0	0.00680272	0	0.00680272	0	0	0	0	0	0	0.00680272	0	0	0	0	0	0.00680272	0	0	0	0.00680272	0	0.00680272	0	0	0	0.00680272	0	0	0	0	0	0	0	0.00680272	-999	0	0	0	0	0	0	0	0	0.00680272	-999	0.00680272	0	0	0	0	0	0	0.00680272	0	0	0.00680272	0	0	0	0	
CDS_2493_chr6_382702_383133	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	196	143	0.524476	0.00103234	0	0.0909091	0.0959925	0	0.002331	0	0	-999	0	-999	-999	0.002331	0	-999	-999	0	0.002331	-999	0	0	0.002331	0.002331	0.002331	0.002331	-999	-999	-999	-999	0	0	-999	-999	0	-999	0	0.002331	-999	0.002331	0	0	0.002331	0	0.002331	0	0	0	-999	0	-999	0	0	0	0	0	-999	0	0	0.002331	0	-999	0	-999	-999	0	0	0	-999	0	-999	0	0.002331	-999	0.002331	0	0	0	0	0	0	0	0	-999	0.002331	-999	0.002331	0.002331	0	0	0.002331	0	0	0	0.002331	0	0	0	0	-999	0.002331	0	0.002331	0	0	0.002331	0	-999	0	0.002331	0	0	0	0	0.002331	0	0	-999	0	0.002331	0	0	0.002331	0	0.002331	0	0	0	0.002331	0.002331	0.002331	
CDS_2494_chr6_942135_942218	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	164	28	0.535714	0.00464659	0	0.265672	0.271364	0	0	0	-999	0	0	0	0	0	0	0.0119048	-999	-999	-999	-999	-999	0	0	-999	0.0119048	0	-999	-999	0	-999	-999	0.0119048	0	0	0	0.0119048	0.0119048	0	0	-999	-999	-999	-999	-999	0	-999	0	0	0	0	-999	0.0119048	-999	0	0	0.0119048	0	-999	0	-999	0	-999	-999	0	0.0119048	0	-999	0	0	-999	-999	-999	0	0	-999	0	0	0	-999	0	-999	-999	0.0119048	-999	0	0	0	0	-999	0	0	0	0	0	0	0	0.0119048	0	0	0	0	-999	0	-999	0	-999	0.0119048	0.0119048	-999	0	0	-999	0.0119048	0	-999	0	-999	-999	0.0119048	0	0.0119048	0.0119048	0	0.0119048	0	-999	-999	0	0.0119048	0	-999	
CDS_2495_chr6_973113_973234	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	200	19	0.631579	0.0109276	0	0.235724	0.240465	0.0175439	0.0175439	0	-999	0	0	0.0175439	-999	0	0	0.0175439	-999	-999	0	0.0175439	0.0175439	0	0	-999	0.0175439	0	0.0175439	0	0	-999	-999	0.0175439	0	-999	0	0	0.0175439	0	-999	0.0175439	0	0.0175439	-999	0.0175439	-999	0.0175439	-999	0	0	0	0	0.0175439	0	-999	0.0175439	0	0.0175439	0.0175439	0	-999	0	0	0.0175439	-999	0.0175439	0	0.0175439	0	0	0	-999	0	0	0	-999	0.0175439	0	-999	0	0.0175439	0.0175439	0.0175439	0.0175439	0.0175439	0	0	0	0	0	0	0.0175439	0	0	0	0.0175439	0	0.0175439	0	0	0	0	0	0	-999	0	0	0	-999	-999	0	0	0.0175439	0	0	0	-999	0	0.0175439	0	0	0	-999	0	0.0175439	0.0175439	0	0	-999	-999	-999	0.0175439	
CDS_2496_chr6_1041407_1041613	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	250	50	0.62	0.00294825	0	-0.256281	-0.252525	0.00666667	0	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0	0.00666667	0	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0	0.00666667	0	0.00666667	0	0	0.00666667	0.00666667	0	0.00666667	0	0.00666667	0	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0.00666667	0	0	0	0	0.00666667	0	0	0.00666667	0.00666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666667	0.00666667	0	0	0.00666667	0.00666667	0	0	0	0.00666667	0	0	0	0	0	0.00666667	0	0	0.00666667	0.00666667	0	0	0.00666667	0	0	0	0	0	0.00666667	0	0	0	0	0	0.00666667	0	0	0.00666667	0	0.00666667	0	0	0	0	0.00666667	0	0.00666667	0.00666667	0	0	0	0	-999	0	0	0	
CDS_2497_chr6_1418632_1418720	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	0	0	252	29	0.241379	0	0.014956	0.0746634	0.0786241	0	0	0	0.0114943	0.0114943	0	0	0	0.0114943	0.0114943	0	0	0	0	0	0	0	0.0114943	0	0.0114943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114943	0.0114943	0.0114943	0	0	0	0	0	0	0	0	0.0114943	0	0	0.0114943	0	0	0.0114943	0	0	0	0	0.0114943	0.0114943	0	0	0.0114943	0	0.0114943	0.0114943	0	0	0	0	0.0114943	0	0	0	0.0114943	0.0114943	0	0	0	0.0114943	0	0	0	0.0114943	0	0	0.0114943	0	0	0	0	0	0	0.0114943	0	0	0	0	0	0.0114943	0	0	0	0	0	0	0	0	0.0114943	0	0	0.0114943	0	0	0	0	0	0.0114943	0.0114943	0	0	0	0.0114943	0	0.0114943	0.0114943	0.0114943	0	
