Contig_name	Status	BiAllelic_SNP	TriAllelic_SNP	QuadriAllelic_SNP	nN	nS	fixN	fixS	polymN0.0	polymS0.0	polymN0.2	polymS0.2	MK_nN	MK_nS	GCalfreq<=0.125	GCalfreq<=0.25	GCalfreq<=0.375	GCalfreq<=0.5	GCalfreq<=0.625	GCalfreq<=0.75	GCalfreq<=0.875	GCalfreq<=1	Pearl_millet_nb_sequence	Pearl_millet_nb_complete_site	Pearl_millet_GC3	Pearl_millet_piN	Pearl_millet_piS	Pearl_millet_Fit	Pearl_millet_WeirCockerham84_Fit	H(Sa-21-28423-02)	H(Sa-21-28423-03)	H(Sa-21-28425-02)	H(Sa-21-30147-01)	H(Sa-21-30147-02)	H(Sa-21-30147-03)	H(Sa-21-30147-04)	H(Sa-21-30218-01)	H(Sa-21-30218-02)	H(Sa-21-30218-03)	H(Sa-21-30507-01)	H(Sa-21-30507-02)	H(Sa-21-30515-01)	H(Sa-21-30515-02)	H(Sa-21-30529-02)	H(Sa-21-30529-03)	H(Sa-21-82410-01)	H(Sa-21-82410-02)	H(Sa-21-82410-03)	H(Sa-21-82410-04)	H(Sa-24-60424-01)	H(Sa-24-60424-03)	H(Sa-6-3189-01)	H(Sa-6-3189-02)	H(Sa-6-3189-03)	H(Sa-6-3189-04)	H(Sa-6-3385-01)	H(Sa-6-4253-01)	H(Sa-6-4253-02)	H(Sa-6-51263-02)	H(Sa-8-11559-01)	H(Sa-8-11559-03)	H(Sa-8-12129-01)	H(Sa-8-12129-02)	H(Sa-8-12129-03)	H(Sa-8-12129-04)	H(Sa-8-7085-01)	H(Sa-8-7085-02)	H(Sa-8-7085-03)	H(Sa-8-7085-04)	H(Sa-8-7085-05)	H(Sa-8-7085-06)	H(So-10-20006-01)	H(So-10-20006-02)	H(So-10-20006-03)	H(So-10-20110-02)	H(So-10-20110-03)	H(So-10-20117-01)	H(So-10-20117-03)	H(So-10-20279-01)	H(So-10-20279-02)	H(So-10-20279-03)	H(So-10-20302-01)	H(So-10-20302-02)	H(So-10-20302-03)	H(So-10-20327-01)	H(So-10-20327-02)	H(So-10-20327-03)	H(So-10-20333-01)	H(So-10-20333-02)	H(So-10-20333-03)	H(So-10-20333-04)	H(So-10-20333-05)	H(So-10-20347-01)	H(So-10-20347-02)	H(So-10-20347-03)	H(So-10-20363-01)	H(So-10-20363-02)	H(So-10-20363-03)	H(So-10-56965-01)	H(So-10-56965-02)	H(So-10-56965-03)	H(So-21-1061629-01)	H(So-21-1061629-02)	H(So-21-1061629-03)	H(So-21-28371-01)	H(So-21-28371-02)	H(So-21-28371-03)	H(So-21-28371-04)	H(So-21-28423-01)	H(So-21-28423-02)	H(So-21-28423-03)	H(So-21-28425-01)	H(So-21-28425-02)	H(So-21-28425-03)	H(So-21-28449-01)	H(So-21-28449-02)	H(So-21-28449-04)	H(So-21-29822-01)	H(So-21-29822-02)	H(So-21-30218-01)	H(So-21-30218-02)	H(So-21-30218-03)	H(So-21-30507-01)	H(So-21-30507-02)	H(So-21-30522-01)	H(So-21-30522-02)	H(So-21-30522-03)	H(So-21-30529-01)	H(So-21-30529-02)	H(So-21-30529-03)	H(So-6-3189-01)	H(So-6-3189-02)	H(So-6-3189-03)	H(So-6-3385-02)	H(So-6-4253-01)	H(So-6-4253-02)	H(So-6-4452-01)	H(So-6-51263-01)	H(So-6-51263-02)	H(So-8-11559-01)	H(So-8-11559-02)	H(So-8-11559-03)	H(So-8-6685-01)	H(So-8-6685-02)	H(So-8-6685-03)	H(So-8-6858-02)	H(So-8-6858-03)	H(So-8-7024-01)	H(So-8-7024-02)	H(So-8-7024-03)	H(So-8-7291-01)	H(So-8-7539-01)	H(So-8-7539-02)	H(So-8-7539-03)	H(So-8-7539-04)	
CDS_100_chr1_40274075_40276121	OK	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	0	1	1	0	148	682	0.412023	0.000950854	0.00340188	0.0477941	0.0545791	0.00391007	0.00195503	-999	-999	0.00195503	0.00293255	-999	-999	0.00195503	0	0.00195503	-999	0	0.00195503	0	0.00195503	0.00195503	0.00195503	0.00195503	0	0.00342131	-999	-999	0.00146628	-999	0.00195503	-999	-999	0.000488759	-999	-999	-999	0	0	-999	-999	-999	-999	-999	0	0	-999	0.00195503	0.00391007	0.00195503	0	0	0.00391007	0.00195503	0	0.00195503	0	0	0.00195503	0	0	0	0.000488759	0.00195503	-999	0	0.00391007	-999	0	-999	-999	0.00195503	-999	-999	-999	0.000977517	0.00195503	-999	0.00146628	0	0.00195503	-999	-999	0	-999	-999	-999	0.00391007	0.00195503	-999	0	0	-999	0.00391007	0	-999	-999	-999	-999	-999	-999	-999	0.00195503	0	0.00195503	-999	0.00146628	0.00195503	-999	-999	0.00195503	0.000488759	0.00195503	-999	0.00391007	-999	-999	-999	-999	-999	0.000977517	0	0	0.000488759	0.00195503	0	0.00391007	-999	0.00391007	0.00195503	-999	
CDS_101_chr1_40292192_40295662	OK	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	146	1156	0.386678	0.000138714	0.0005466	-0.0319279	-0.0250368	0.000576701	0.000576701	-999	0.000576701	0.000576701	-999	0.000576701	-999	0	0	-999	-999	-999	-999	0	-999	0.000576701	0.000576701	0	-999	-999	0.000576701	-999	-999	-999	0	0.000576701	-999	0.000288351	-999	0	0.000576701	0	0	0.000576701	-999	0	0.000576701	-999	0	-999	-999	-999	-999	0	-999	0	0.000576701	0.000576701	-999	0	0	-999	-999	0	0	-999	0.000576701	0	-999	0	0	-999	-999	-999	-999	0	0.000576701	-999	-999	-999	0.000576701	0.000576701	0	0	0.000576701	0.000576701	0.000576701	0	0	0	-999	-999	0	-999	-999	-999	0	0	0	-999	-999	0.000576701	0.000576701	0	0	-999	-999	0	0	0	0.000576701	-999	-999	0	0	0	0.000576701	-999	0.000576701	-999	0	0	-999	-999	0.000288351	-999	0	-999	0	-999	0.000576701	0	0.000576701	0	-999	
CDS_102_chr1_40317660_40321163	OK	3	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	114	1167	0.37018	0.000303313	0.000397459	-0.0797529	-0.0709534	0.000571265	0.000285633	0.000285633	0.000571265	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	-999	0.000571265	-999	-999	0.000285633	-999	-999	-999	-999	-999	-999	-999	0.000285633	0	0.000571265	-999	-999	-999	0	-999	-999	0	-999	0.000571265	-999	0.000571265	0.000571265	-999	0.000571265	-999	0.000571265	0.000285633	0	-999	0.000571265	0.000571265	-999	-999	0.000571265	-999	0.000285633	-999	-999	0.000285633	0.000285633	-999	0.000285633	-999	-999	-999	0	-999	0.000571265	0.000571265	0.000285633	0	-999	0.000571265	0.000571265	0	-999	0.000571265	0	0.000856898	0.000571265	0	-999	-999	-999	0.000571265	0.000571265	0	0	0.000285633	0.000285633	-999	0.000285633	0.000571265	-999	0	0.000285633	-999	-999	0.000571265	0.000571265	0	0	-999	-999	0.000571265	-999	-999	-999	0.000571265	-999	-999	-999	-999	0.000571265	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	
CDS_103_chr1_40572115_40572272	OK	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	0	0	0	0	208	52	0.596154	0	0.0224607	0.0417102	0.0465317	0	-999	0.00641026	-999	0	0.00641026	0.00641026	-999	0.00641026	0.00641026	0	0.00641026	-999	0	0.0128205	0	0	0.0128205	0.00641026	0.0128205	0.00641026	0	0.00641026	-999	0.00641026	0.0128205	0	0.00641026	0	0.0128205	0.0128205	0.00641026	0.00641026	0	0	-999	0	-999	0	-999	0.00641026	0	0.00641026	-999	0.0128205	0	0.0128205	0	0.0128205	0.00641026	0.0128205	0	0.00641026	0.00641026	-999	0	-999	0.00641026	0	0.00641026	0	0	0.0128205	-999	-999	-999	0.00641026	0.00641026	0.00641026	0	0	0	-999	0.0128205	0	0.00641026	0	0.0128205	0.00641026	0	0.00641026	0.0128205	0	-999	0	0	0	0.0128205	0.00641026	0.00641026	0.00641026	0	0.00641026	0	0	0	-999	0.0128205	0	0.00641026	0	0	0.00641026	0	-999	0	0.00641026	0	0.00641026	0.0128205	0.00641026	-999	0.00641026	0	0	-999	0.00641026	-999	0	0.00641026	0	0.00641026	-999	0.00641026	0.00641026	0	
CDS_104_chr1_40629211_40629849	OK	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	1	110	212	0.646226	0.00104692	0.000623523	-0.0482063	-0.0390492	0.00157233	0	-999	-999	0.00157233	-999	-999	0.00314465	-999	-999	-999	-999	-999	0	0	-999	0	0	-999	-999	0	0	-999	-999	-999	0	0	-999	0	0	-999	-999	-999	0	0	-999	0	0.00314465	0.00314465	-999	-999	-999	0	-999	0.00157233	0	0	-999	0.00157233	-999	-999	0	0.00157233	-999	0	0	-999	-999	-999	-999	0.00157233	-999	-999	-999	-999	-999	0	-999	-999	-999	0.00157233	-999	0.00314465	-999	0	-999	-999	0	-999	0.00471698	-999	-999	0.00314465	-999	0	-999	0.00314465	0.00157233	0	-999	-999	0.00157233	-999	0.00314465	0.00157233	0	-999	-999	-999	0	0.00157233	0.00157233	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	0.00157233	0.00157233	0.00157233	0.00157233	-999	-999	-999	0.00157233	-999	-999	-999	
CDS_105_chr1_40886674_40886784	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	182	36	0.583333	0	0.0103085	0.520042	0.524061	-999	0	-999	0	0.00925926	0.00925926	0	0	-999	-999	0	-999	0	0	-999	0	0	-999	0.00925926	0	0	-999	0.00925926	-999	0	-999	0	0	0	-999	0	0	-999	0	0	0	0	0	0	0	0	-999	0	-999	0	-999	0	0.00925926	-999	0	-999	0	0	0	-999	0	0	0	0	0	0	0.00925926	0	-999	-999	0	0	-999	-999	0.00925926	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	0	0	-999	-999	0	0	0	0	-999	-999	0	0	0	0	0	0.00925926	0	0	-999	0	0	0	0	0	0.00925926	-999	0	-999	-999	0	0	0	0	0	-999	-999	-999	-999	0	0	0	0.00925926	
CDS_106_chr1_40886861_40887038	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	184	59	0.457627	0.00110617	0	0.452381	0.456716	-999	0	-999	0.00564972	0	0.00564972	0	0	-999	0	0	-999	0	-999	-999	0.00564972	0	0	0	0	0	-999	-999	-999	0	-999	0	0.00564972	0	-999	0.00564972	0	-999	0	0	-999	0	0	0	-999	0	-999	0	0	0	-999	0	0	-999	0	-999	0	0	0	0	0	0.00564972	0	0	0.00564972	0	0	0	-999	-999	0	0	0	-999	0	0	0	0	0	0	-999	0	0	0	-999	0	0	0.00564972	0	-999	0	0	-999	0	0	0	0	-999	0	-999	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	-999	0	0	-999	0	0	0	0	0	-999	-999	-999	-999	0	0	0	0	
CDS_107_chr1_41054608_41054673	OK	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	182	22	0.318182	0.00856664	0	0.0544162	0.059923	0.030303	0	0	0	0	0	0.030303	0	0.030303	0.030303	0	0	0	0	-999	0	-999	0.030303	0	-999	-999	-999	0	-999	-999	-999	-999	0	0	-999	0	0	0.030303	0	0	0.030303	0	0	0	0.030303	0.030303	0	0	0	0	-999	-999	0	0	0	0.030303	0	0	0	0	0	0	0.030303	0	0	0	-999	0	-999	-999	0	-999	0.030303	-999	0	0	0	0	0.030303	0	0	-999	0.030303	-999	0	0	0	0	0	0	0	0	0	-999	0.030303	-999	0	0	0	0	-999	0.030303	-999	-999	0.030303	0	-999	-999	-999	0	0	0	0	0	-999	-999	0	0	0	-999	0	0.030303	0.030303	-999	0	0	-999	-999	-999	0	-999	
CDS_108_chr1_41432432_41432797	OK	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	1	0	174	122	0.811475	0.00175529	0.00771823	0.105218	0.11093	0	-999	-999	-999	0.00273224	0.00546448	0.00546448	-999	0.00819672	-999	-999	-999	0	0.00819672	0.00546448	0.00273224	0.00546448	-999	0	-999	0.00546448	0	-999	0.00546448	-999	0.00546448	0.00819672	0	0	-999	0.00819672	0.00819672	0.00819672	0	0	-999	-999	0.00273224	0.00273224	-999	0.00819672	0.00546448	0.00273224	-999	0	-999	0	0.00273224	0.00546448	0.00273224	0	0	0	0	0	0	-999	0.00546448	-999	0.00273224	0.00273224	0.00273224	0	0	0	0.00546448	0.00546448	0.00819672	0.00546448	0	0	0	-999	0	0	0	-999	0.00546448	-999	0	0	-999	0	0.00819672	-999	-999	0	0	0.00546448	-999	0	0	0	0.00273224	0	0.00546448	-999	0.00273224	-999	0	-999	-999	-999	-999	0.00546448	0.00546448	-999	0	0	0	-999	0	0	0.00546448	0.00273224	0.00546448	-999	0.00546448	-999	-999	0.00546448	0.00546448	-999	-999	0.00819672	0	
CDS_109_chr1_41942049_41942489	OK	3	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	2	204	147	0.945578	0.00146916	0.00331109	0.0636221	0.0685267	0	0.00226757	0	0.00453515	0	0	0.00453515	0	-999	0.00226757	0	-999	-999	-999	0	0.00226757	0	0.00226757	0	0.00226757	0	-999	0	0.00226757	-999	0.00453515	0.00453515	0.00453515	0.00453515	0	0.00226757	0	0.00226757	0	-999	-999	-999	0	0.00226757	0.00226757	0	0.00226757	-999	0.00226757	0.00226757	-999	0.00226757	0	0.00453515	0.00453515	0.00226757	0	0.00226757	0.00226757	0	-999	0.00226757	0.00453515	0.00226757	-999	0	0.00226757	0.00453515	0.00226757	0.00453515	-999	0.00226757	0	0.00453515	0.00453515	0.00226757	0	-999	0.00453515	0.00226757	0	0.00226757	0.00226757	-999	0.00226757	-999	0	0	0	0.00453515	0	0	0.00453515	0	0.00453515	0	0.00226757	0	-999	0.00226757	0	0.00226757	0.00453515	0	0.00453515	0	0.00226757	0	0	0	0	0.00453515	-999	0.00226757	0.00226757	-999	-999	-999	0	0	-999	0	0	0.00226757	-999	0.00226757	0.00226757	0	0.00226757	0	0.00453515	
